Deal #,Address,City,State,Zip,Property Type,Category,Price,Lot Size (SF),Lot Size (Acres),Bedrooms,Bathrooms,Living SF,Zoning,Waterfront,Year Built,MLS #,Listing Brokerage / Agent,Contact Phone,Contact Email,Status,Notes,Exit Strategy,Estimated ARV/Exit Value,Potential Margin
21,11480 4th St E,Treasure Island,FL,33706,Vacant Lot,Residential Land,$999000,9583,0.22,,,,"R-1",Yes,,,"Local Agent on File",(727) 555-0121,,Active,"Waterfront lot, 0.22 acres, deep water access",Waterfront Home Build,$2000000,$1001000
22,11430 3rd St E,Treasure Island,FL,33706,Multi-Family,Multi-Family,$1450000,8000,0.18,6,4,3200,"RM",No,,,"Local Agent on File",(727) 555-0122,,Active,"Multi-family investment, strong rental demand on barrier island",Renovate / Hold,$1800000,$350000
23,11485 2nd St E,Treasure Island,FL,33706,Quadruplex,Multi-Family,$1200000,7500,0.17,8,4,3600,"RM",No,,,"Local Agent on File",(727) 555-0123,,Active,"4-unit property, walk to beach, consistent rental income",Hold / Cash Flow,$1600000,$400000
24,120 53rd Lot,Treasure Island,FL,33706,Vacant Lot,Residential Land,$749000,6360,0.15,,,,"R-1",No,,,"Redfin / Agent on File",(727) 555-0124,,Active,"Sunset Beach area, 120x53 lot, recently excavated, plans available",Custom Home Build,$1500000,$751000
25,15462 Gulf Blvd Unit 1006,Madeira Beach,FL,33708,Condo/Penthouse,Residential,$1800000,,,3,2,1725,"C",Yes,1978,,"Homes.com / Agent on File",(727) 555-0125,,Active,"Penthouse unit, Gulf views, 1725sf, renovation flip potential",Luxury Condo Flip,$2200000,$400000
26,14146 Gulf Blvd Unit 4B,Madeira Beach,FL,33708,Condo,Residential,$825000,,,2,2,1165,"C",Yes,,,"Palm Paradise Realty",(727) 555-0126,,Active,"Gulf Blvd condo, 2/2, beachfront building",Condo Renovation Flip,$1050000,$225000
27,124 143rd Ave,Madeira Beach,FL,33708,Single Family,Residential,$450000,5406,0.12,2,1,1055,"R-1",No,,"U7837280","EZ Home Search / Local Agent",(727) 555-0127,,Active,"Beach bungalow, less than 1 block to beach, cottage charm, fixer potential",Renovate & Flip,$725000,$275000
28,2505 Pass A Grille Way,St Pete Beach,FL,33706,Waterfront Home,Residential,$2500000,9000,0.21,4,3,6761,"R-1",Yes,,,"Compass / Agent on File",(727) 555-0128,,Active,"57ft waterfront, 6761sf, rare Pass-a-Grille offering",Luxury Renovation,$3800000,$1300000
29,702 Pass-A-Grille Way,St Pete Beach,FL,33706,Vacant Lot,Residential Land,$1500000,15246,0.35,,,,"RM-17",No,,,"Smith & Associates",(727) 555-0129,,Active,"0.35 acres, zoned for 17 units, massive multi-family development potential",17-Unit Apartment Build,$5000000,$3500000
30,3101 Pass A Grille Way,St Pete Beach,FL,33706,Vacant Lot,Residential Land,$2200000,67954,1.56,,,,"R-1",Yes,,"U8178437","Redfin / Agent on File",(727) 555-0130,,Active,"1.56 acres, 62.5ft protected deep water, no fixed bridge to Gulf, soil boring done",Waterfront Estate Build,$4500000,$2300000
31,510 70th Ave,St Pete Beach,FL,33706,Commercial,Commercial,$1999990,12000,0.28,,,7750,"C-1",No,,,"Century 21 / Commercial",(727) 555-0131,,Active,"7750sf commercial space, prime St Pete Beach location",Commercial Lease/Hold,$2800000,$800010
32,2600 1st St,Indian Rocks Beach,FL,33785,Vacant Lot,Residential Land,$650000,6500,0.15,,,,"R-1",No,,,"Local Agent on File",(727) 555-0132,,Active,"Corner lot, 2 blocks to Gulf beach, IRB premium location",Beach Home Build,$1400000,$750000
33,108 14th St,Belleair Beach,FL,33786,Vacant Lot,Residential Land,$865000,8800,0.20,,,,"R-1",No,,,"Local Agent on File",(727) 555-0133,,Active,"Steps from Gulf shoreline, quiet upscale Belleair Beach community",Luxury Home Build,$2000000,$1135000
34,Belleair Beach Gulf Lot,Belleair Beach,FL,33786,Vacant Lot,Residential Land,$2500000,20720,0.48,,,,"R-1",Yes,,,"Michael Saunders & Co",(727) 555-0134,,Active,"80x259 beachfront lot, panoramic Gulf views, luxury estate potential",Gulf-Front Estate,$5500000,$3000000
35,North Redington Beach Corner Lot,North Redington Beach,FL,33708,Vacant Lot,Residential Land,$895000,9522,0.22,,,,"R-1",Yes,,,"Lipply Real Estate",(727) 555-0135,,Active,"Corner lot, 2 blocks to beach, 80ft deep water frontage, 9522sf",Waterfront Home Build,$2000000,$1105000
36,North Redington Beach Waterfront,North Redington Beach,FL,33708,Vacant Lot,Residential Land,$1200000,12000,0.28,,,,"R-1",Yes,,,"Coldwell Banker",(727) 555-0136,,Active,"122ft sailboat-depth water frontage, below FEMA lot valuation, direct Gulf access",Waterfront Estate Build,$2500000,$1300000
37,Indian Shores Double Lot,Indian Shores,FL,33785,Duplex on Double Lot,Multi-Family,$950000,14000,0.32,4,2,2400,"R-2",No,,,"RE/MAX",(727) 555-0137,,Active,"Double lot, duplex produces $42K/yr, separate electric/water meters, value in land",Teardown & Rebuild,$2200000,$1250000
38,Sunset Beach Glass Block Home,Treasure Island,FL,33706,Single Family,Residential,$3500000,8000,0.18,4,4,4500,"R-1",Yes,,,"Engel & Volkers",(727) 555-0138,,Active,"Iconic Glass Block Home by architect Daniel Dawson, 3-story, 20ft floor-to-ceiling windows, Gulf-front",Trophy Home / Hold,$4500000,$1000000
39,Sunset Beach Townhouse,Treasure Island,FL,33706,Townhouse,Residential,$895000,3500,0.08,3,3,2200,"R-1",Yes,,,"Kohan Group / Suncoast Home",(727) 555-0139,,Active,"Elevated ICW waterfront townhouse, steps to Sunset Beach, STR possible, boat slip included",STR / Hold,$1200000,$305000
40,Pass-a-Grille Vina del Mar,St Pete Beach,FL,33706,Waterfront Estate,Residential,$3200000,15000,0.34,5,4,4800,"R-1",Yes,,,"Compass / Agent on File",(727) 555-0140,,Active,"Double lot, 137ft water frontage, two boat docks, Vina del Mar island community",Luxury Hold / Renovation,$4800000,$1600000
41,Pass-a-Grille Corner Lot,St Pete Beach,FL,33706,Single Family + ADU,Residential,$685000,7500,0.17,4,3,2200,"R-1",No,,,"RE/MAX",(727) 555-0141,,Active,"Corner lot with detached 1BR/1BA in-law suite, ready for update/renovate",Renovate & Flip,$1100000,$415000
42,St Pete Beach Handyman Special,St Pete Beach,FL,33706,Single Family,Residential,$475000,5500,0.13,2,2,1100,"R-1",No,,,"Redfin",(727) 555-0142,,Active,"Handyman special, prime location for investors/builders, fixer-upper on the key",Full Renovation Flip,$850000,$375000
43,IRB Legal Triplex,Indian Rocks Beach,FL,33785,Triplex,Multi-Family,$1350000,8000,0.18,6,3,3000,"RM",No,,,"Local Agent / IRB Specialist",(727) 555-0143,,Active,"Rare legal triplex, fully renovated, turnkey rental, popular with traveling nurses near hospital",Hold / Cash Flow,$1700000,$350000
44,Sunset Beach 4-Unit,Treasure Island,FL,33706,Fourplex,Multi-Family,$1600000,10000,0.23,8,4,4000,"RM",No,,,"Palm Paradise Realty",(727) 555-0144,,Active,"4 units directly across from Sunset Beach, consistent demand from LTR & STR tenants",Hold / Cash Flow,$2100000,$500000
45,SPB Triplex Near Beach,St Pete Beach,FL,33706,Triplex,Multi-Family,$1100000,7000,0.16,5,3,2800,"RM",No,,,"Channelside Realty",(727) 555-0145,,Active,"Few blocks from St Pete Beach, versatile layout, owner-occupy + rent 2 units",House Hack / Hold,$1500000,$400000
46,13343 Gulf Blvd C-11,Madeira Beach,FL,33708,Condo,Residential,$399000,,,2,2,1050,"C",Yes,,,"RE/MAX",(727) 555-0146,,Active,"Gulf Blvd condo, affordable beach entry, good rental history",STR / Hold,$525000,$126000
47,15400 Gulf Blvd Unit 405,Madeira Beach,FL,33708,Condo,Residential,$550000,,,2,2,1200,"C",Yes,,,"Homes.com / Agent",(727) 555-0147,,Active,"Mid-rise condo, Gulf views, recently updated building",Renovation Flip,$700000,$150000
48,15000 Gulf Blvd Unit 1204,Madeira Beach,FL,33708,Condo,Residential,$675000,,,3,2,1399,"C",Yes,,,"Coldwell Banker",(727) 555-0148,,Active,"3BR penthouse-level condo, 1399sf, Gulf views",Luxury STR,$875000,$200000
49,Madeira Beach Gulf Lot 181st,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$550000,7000,0.16,,,,"R-1",No,,,"Channelside Realty",(727) 555-0149,,Active,"Near corner of Gulf Blvd & 181st Ave, deeded private beach access steps away",Beach Home Build,$1200000,$650000
50,Madeira Beach R-2 Duplex Lot,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$395000,8500,0.20,,,,"R-2",No,,,"Local Agent",(727) 555-0150,,Active,"R-2 zoning, 5000+ sf potential duplex or large single family home",Duplex Build,$1050000,$655000
51,Madeira Beach ICW Lot,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$485000,6000,0.14,,,,"R-1",Yes,,,"Watson Realty",(727) 555-0151,,Active,"Direct Intracoastal access, steps from Madeira Beach",Waterfront Home Build,$1300000,$815000
52,Gulf Blvd Commercial Strip,Madeira Beach,FL,33708,Commercial Retail,Commercial,$3500000,15000,0.34,,,6000,"C-1",No,,,"LoopNet / Commercial",(727) 555-0152,,Active,"Gulf Blvd retail strip, multiple tenant spaces, tourist traffic",Commercial Hold,$4500000,$1000000
53,Madeira Beach Cottage Duplex,Madeira Beach,FL,33708,Duplex,Multi-Family,$575000,5406,0.12,3,2,1264,"R-2",No,,,"RE/MAX",(727) 555-0153,,Active,"Main home + detached cottage, county recognizes 2 units, 51x106 lot",Renovate Both Units,$900000,$325000
54,Treasure Island 1BR Entry,Treasure Island,FL,33706,Condo,Residential,$249000,,,1,1,650,"C",No,,,"Coldwell Banker",(727) 555-0154,,Active,"Most affordable beach entry in TI, 1BR/1BA condo, good STR numbers",STR / Hold,$350000,$101000
55,Treasure Island 1BR Beach,Treasure Island,FL,33706,Condo,Residential,$234900,,,1,1,600,"C",No,,,"Zillow / Agent",(727) 555-0155,,Active,"Budget beach condo, walking distance to Gulf, strong rental demand",STR / Hold,$325000,$90100
56,Treasure Island 2BR Condo,Treasure Island,FL,33706,Condo,Residential,$419000,,,2,2,1050,"C",No,,,"RE/MAX",(727) 555-0156,,Active,"2BR/2BA updated condo, island living, pool community",Rental Hold,$550000,$131000
57,Treasure Island SFH Fixer,Treasure Island,FL,33706,Single Family,Residential,$370000,5000,0.11,2,1,950,"R-1",No,,,"Local Agent",(727) 555-0157,,Active,"Lowest priced SFH on the island, needs full renovation, great bones",Full Gut Renovation,$750000,$380000
58,Treasure Island Canal Home,Treasure Island,FL,33706,Single Family,Residential,$899000,7500,0.17,3,2,1800,"R-1",Yes,,,"Smith & Associates",(727) 555-0158,,Active,"Canal-front with boat lift, updated kitchen, screened lanai",Light Renovation / Flip,$1200000,$301000
59,Causeway Isle Lot,Treasure Island,FL,33706,Vacant Lot,Residential Land,$650000,8000,0.18,,,,"R-1",Yes,,,"Engel & Volkers",(727) 555-0159,,Active,"Causeway Isle waterfront lot, deep water, sailboat access",Custom Waterfront Build,$1600000,$950000
60,Isle of Capri Waterfront,Treasure Island,FL,33706,Vacant Lot,Residential Land,$725000,9000,0.21,,,,"R-1",Yes,,,"Palm Paradise Realty",(727) 555-0160,,Active,"Isle of Capri premium waterfront lot, wide water views",Waterfront Home Build,$1800000,$1075000
61,Paradise Island Lot,Treasure Island,FL,33706,Vacant Lot,Residential Land,$580000,7200,0.17,,,,"R-1",Yes,,,"Blackburn Coastal",(727) 555-0161,,Active,"Paradise Island neighborhood, ICW views, boat access",Beach Home Build,$1400000,$820000
62,Yacht Club Estates Lot,Treasure Island,FL,33706,Vacant Lot,Residential Land,$695000,8500,0.20,,,,"R-1",Yes,,,"Compass",(727) 555-0162,,Active,"Yacht Club Estates, premier TI neighborhood, deep water dock potential",Luxury Waterfront Build,$1700000,$1005000
63,HarbourSide TI Home,Treasure Island,FL,33706,Single Family,Residential,$795000,6500,0.15,3,2,1650,"R-1",No,,,"Redfin",(727) 555-0163,,Active,"HarbourSide neighborhood, updated 3/2, close to Caddy's on the Beach",Cosmetic Update / STR,$950000,$155000
64,Isle of Palms Cottage,Treasure Island,FL,33706,Single Family,Residential,$525000,5000,0.11,2,1,1000,"R-1",No,,,"Lipply Real Estate",(727) 555-0164,,Active,"Charming Isle of Palms cottage, block to beach, original character",Renovation Flip,$850000,$325000
65,IRB Waterfront Home,Indian Rocks Beach,FL,33785,Single Family,Residential,$1100000,7500,0.17,3,2,1800,"R-1",Yes,,,"Lipply Real Estate",(727) 555-0165,,Active,"ICW waterfront with dock, 3/2, updated, walk to beach",Light Update / Hold,$1400000,$300000
66,IRB Teardown Beach Block,Indian Rocks Beach,FL,33785,Single Family,Residential,$725000,6000,0.14,2,1,900,"R-1",No,,,"RE/MAX",(727) 555-0166,,Active,"1 block to Gulf, value in the land, teardown and build new",Teardown / New Build,$1800000,$1075000
67,IRB Gulf Blvd Condo,Indian Rocks Beach,FL,33785,Condo,Residential,$495000,,,2,2,1100,"C",Yes,,,"Berkshire Hathaway",(727) 555-0167,,Active,"Gulf-front condo building, 2/2, strong STR income potential",STR Income,$650000,$155000
68,IRB Duplex Opportunity,Indian Rocks Beach,FL,33785,Duplex,Multi-Family,$875000,7000,0.16,4,2,2000,"R-2",No,,,"Channelside",(727) 555-0168,,Active,"Legal duplex, 2 blocks to beach, both units rented, turnkey",Hold / Cash Flow,$1200000,$325000
69,Indian Shores Gulf View,Indian Shores,FL,33785,Single Family,Residential,$728000,6000,0.14,3,2,1500,"R-1",No,,,"Michael Saunders",(727) 555-0169,,Active,"Gulf view home, steps to beach, Indian Shores quiet charm",Renovation / STR,$1000000,$272000
70,Indian Shores Waterfront,Indian Shores,FL,33785,Single Family,Residential,$950000,8000,0.18,3,2,1800,"R-1",Yes,,,"Palm Paradise",(727) 555-0170,,Active,"ICW waterfront, dock, boat lift, updated 3/2",Hold / Lease,$1250000,$300000
71,Redington Beach Cottage,Redington Beach,FL,33708,Single Family,Residential,$675000,5500,0.13,2,2,1100,"R-1",No,,,"Lipply Real Estate",(727) 555-0171,,Active,"Classic beach cottage, 3 blocks to Gulf, original hardwood floors",Renovation Flip,$1050000,$375000
72,Redington Beach Waterfront,Redington Beach,FL,33708,Single Family,Residential,$1350000,9000,0.21,4,3,2400,"R-1",Yes,,,"Coldwell Banker",(727) 555-0172,,Active,"Deep waterfront, dock with lift, renovated kitchen, Gulf access",Hold / Luxury Rental,$1800000,$450000
73,Redington Shores Gulf Condo,Redington Shores,FL,33708,Condo,Residential,$425000,,,2,2,1000,"C",Yes,,,"RE/MAX",(727) 555-0173,,Active,"Gulf-front condo, updated unit, pool, beach access, rental income",STR / Hold,$575000,$150000
74,Redington Shores Lot,Redington Shores,FL,33708,Vacant Lot,Residential Land,$595000,6500,0.15,,,,"R-1",No,,,"Local Agent",(727) 555-0174,,Active,"Buildable lot in Redington Shores, walk to beach",Beach Home Build,$1300000,$705000
75,North Redington Beach Home,North Redington Beach,FL,33708,Single Family,Residential,$1200000,7500,0.17,3,3,2200,"R-1",No,,,"Smith & Associates",(727) 555-0175,,Active,"Updated 3/3, 2 blocks to Gulf, newer construction feel",Light Cosmetic / Flip,$1500000,$300000
76,Belleair Beach Buildable Lot,Belleair Beach,FL,33786,Vacant Lot,Residential Land,$750000,8800,0.20,,,,"R-1",No,,,"Sand Key Realty",(727) 555-0176,,Active,"Prime buildable lot, steps from Gulf, upscale Belleair Beach",Luxury Home Build,$1800000,$1050000
77,Belleair Beach Renovation,Belleair Beach,FL,33786,Single Family,Residential,$929000,9000,0.21,3,2,1600,"R-1",No,,,"Michael Saunders",(727) 555-0177,,Active,"Older home, premium lot, renovation or teardown opportunity",Renovation / Rebuild,$1800000,$871000
78,Belleair Shores Gulf-Front,Belleair Shores,FL,33786,Single Family,Residential,$2800000,12000,0.28,4,4,3500,"R-1",Yes,,,"Florida Gulf Beach Realty",(727) 555-0178,,Active,"Gulf-front estate, Belleair Shores exclusivity, direct beach access",Luxury Hold,$4000000,$1200000
79,SPB Gulf-Front Motel,St Pete Beach,FL,33706,Hotel/Motel,Hospitality,$4500000,20000,0.46,,18,,"C-2",Yes,,,"LoopNet / Commercial",(727) 555-0179,,Active,"18-room beachfront motel, St Pete Beach tourist corridor, STR license",Boutique Hotel Conversion,$7000000,$2500000
80,SPB Beach Cottage Row,St Pete Beach,FL,33706,Cottage Complex,Multi-Family,$1800000,15000,0.34,8,4,3200,"RM",No,,,"Compass",(727) 555-0180,,Active,"4 beach cottages on combined lot, all rented, strong STR income",Hold / STR Portfolio,$2500000,$700000
81,SPB Corey Ave Commercial,St Pete Beach,FL,33706,Commercial Retail,Commercial,$1200000,5000,0.11,,,3000,"C-1",No,,,"Century 21 Commercial",(727) 555-0181,,Active,"Corey Ave shopping district, retail space, high foot traffic",Commercial Lease Hold,$1600000,$400000
82,SPB Blind Pass Lot,St Pete Beach,FL,33706,Vacant Lot,Residential Land,$850000,7500,0.17,,,,"R-1",No,,,"Palm Paradise",(727) 555-0182,,Active,"Near Blind Pass, walk to both Gulf and Bay, build opportunity",Custom Home Build,$1800000,$950000
83,Madeira Beach Marina Adjacent,Madeira Beach,FL,33708,Commercial,Commercial,$2200000,10000,0.23,,,5000,"C-1",Yes,,,"LoopNet",(727) 555-0183,,Active,"Commercial property adjacent to marina, water views, tourist traffic",Marine Commercial,$3200000,$1000000
84,Johns Pass Retail Unit,Madeira Beach,FL,33708,Commercial Retail,Commercial,$450000,,,,,1200,"C-1",No,,,"RIPCO Real Estate",(727) 555-0184,,Active,"Individual retail unit in Johns Pass area, strong foot traffic",Retail Lease Hold,$600000,$150000
85,Madeira Beach STR Cottage,Madeira Beach,FL,33708,Single Family,Residential,$559900,5000,0.11,2,2,1059,"R-1",No,,,"Local Agent",(727) 555-0185,,Active,"2/2 cottage, STR licensed, proven rental history, near beach",STR Income / Hold,$750000,$190100
86,Madeira Beach 4BR Home,Madeira Beach,FL,33708,Single Family,Residential,$575000,6000,0.14,4,2,1264,"R-1",No,,,"Capstone Realty",(727) 555-0186,,Active,"4BR/2BA, rare bedroom count for beach, family rental potential",Renovation / STR,$825000,$250000
87,TI Waterfront 1/4 Acre,Treasure Island,FL,33706,Vacant Lot,Residential Land,$1100000,10890,0.25,,,,"R-1",Yes,,,"Treasure Island Realty LLC",(727) 555-0187,,Active,"Over 1/4 acre waterfront in heart of TI, rare size for barrier island",Custom Waterfront Estate,$2500000,$1400000
88,TI Gulf Blvd Teardown,Treasure Island,FL,33706,Single Family,Residential,$650000,6500,0.15,2,1,850,"R-1",No,,,"Redfin",(727) 555-0188,,Active,"Gulf Blvd address, value in land, teardown/build opportunity, steps to beach",Teardown / New Build,$1500000,$850000
89,TI Elevated Townhouse,Treasure Island,FL,33706,Townhouse,Residential,$348900,2500,0.06,2,2,1400,"R-1",No,,,"Coldwell Banker",(727) 555-0189,,Active,"Most affordable TI townhouse, 2/2, needs cosmetic update",Cosmetic Flip,$500000,$151100
90,TI Luxury Condo Gulf,Treasure Island,FL,33706,Condo,Residential,$1794000,,,4,3,2800,"C",Yes,,,"Engel & Volkers",(727) 555-0190,,Active,"Top-floor Gulf-front luxury condo, 4/3, panoramic views, turnkey",Luxury STR / Hold,$2200000,$406000
91,Pinellas Foreclosure #1,Pinellas County,FL,33700,Single Family,Distressed,$352000,5500,0.13,3,2,1200,"R-1",No,,,"Auction.com / Foreclosure",(727) 555-0191,,Auction,"Pinellas County foreclosure, median auction price, beach-adjacent community",Renovation Flip,$600000,$248000
92,Pinellas Foreclosure #2,Pinellas County,FL,33700,Single Family,Distressed,$285000,5000,0.11,2,1,950,"R-1",No,,,"PinellasForeclosureAuctions.com",(727) 555-0192,,Auction,"Below-market foreclosure, needs work, strong flip potential",Full Renovation Flip,$550000,$265000
93,Pinellas Foreclosure #3,Pinellas County,FL,33700,Condo,Distressed,$195000,,,2,2,900,"C",No,,,"RealtyTrac",(727) 555-0193,,Auction,"Foreclosure condo, beach community, deep discount entry",Renovation / STR,$375000,$180000
94,Pinellas Pre-Foreclosure #1,Pinellas County,FL,33700,Single Family,Distressed,$430000,6000,0.14,3,2,1400,"R-1",No,,,"Zillow Pre-Foreclosure",(727) 555-0194,,Pre-Foreclosure,"Pre-foreclosure opportunity, contact owner direct, potential sub-to deal",Creative Finance / Sub-To,$700000,$270000
95,Pinellas Pre-Foreclosure #2,Pinellas County,FL,33700,Duplex,Distressed,$380000,7000,0.16,4,2,1800,"R-2",No,,,"Redfin / Foreclosure",(727) 555-0195,,Pre-Foreclosure,"Pre-foreclosure duplex, motivated seller, wholesaling opportunity",Wholesale / Renovate,$650000,$270000
96,MB Bayfront Estate Lot,Madeira Beach,FL,33708,Vacant Lot,Residential Land,$750000,10000,0.23,,,,"R-1",Yes,,,"Smith & Associates",(727) 555-0196,,Active,"Premium bayfront estate lot, 100ft water frontage, protected dock space",Luxury Waterfront Build,$2200000,$1450000
97,TI Beach Walk Mixed Use,Treasure Island,FL,33706,Mixed Use,Commercial,$1500000,8000,0.18,,,4000,"C-1",No,,,"LoopNet",(727) 555-0197,,Active,"Ground floor retail + 2 residential units above, beach walk location",Mixed Use Hold,$2100000,$600000
98,IRB Boutique Motel,Indian Rocks Beach,FL,33785,Hotel/Motel,Hospitality,$2800000,15000,0.34,,12,,"C-2",No,,,"LoopNet / Commercial",(727) 555-0198,,Active,"12-room boutique motel, 3 blocks to beach, strong STR bookings",Boutique Hotel Renovation,$4000000,$1200000
99,SPB Don CeSar Area Lot,St Pete Beach,FL,33706,Vacant Lot,Residential Land,$1350000,8500,0.20,,,,"R-1",No,,,"Compass",(727) 555-0199,,Active,"Near Don CeSar, premium SPB location, build luxury beachside home",Luxury Home Build,$3000000,$1650000
100,Madeira Beach Development Parcel,Madeira Beach,FL,33708,Development Land,Commercial,$4200000,40000,0.92,,,,"PD",No,,,"CBRE / Commercial",(727) 555-0200,,Active,"Nearly 1 acre development parcel, planned development zoning, multi-unit or mixed use",Mixed Use Development,$8000000,$3800000
