score,firm,hq_county,counties,offices,phone,website,contact_name,contact_title,contact_email,size,advertising_evidence,evidence_url,angle,status,date_added
B,"Casas Law, P.A.",Palm Beach,Palm Beach,"Palm Beach: (verify address; LSA 'serves Atlantis', local business)",,https://www.casaslaw.com,,,,small 2-10,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 35+ yrs, 140 reviews, flagged 'local business'",Google LSA 33462 pull 2026-07-29,Long-tenured local firm buying LSA — small enough that the founder decides,new,2026-07-29
B,"DeWitt Law Firm, P.A.",Palm Beach,Palm Beach,"(verify address; LSA 'serves Atlantis', family owned)",,https://www.dewittlaw.com,,,,small 2-10,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 28+ yrs, 375 reviews, family-owned",Google LSA 33462 pull 2026-07-29,Family-owned 28-yr firm — owner decides; local recognition play,new,2026-07-29
B,Fetterman & Associates / Fetterman Law (The Law Team),Palm Beach,Palm Beach,"Palm Beach: 648 US Hwy One, North Palm Beach, FL 33408",561-845-2510,https://lawteam.com,Evan Fetterman,Founder,no marketing contact published,mid 10-50,First lawyer in PBC to advertise legal services (since 1974); long-running local TV/print presence,https://lawteam.com/our-team/evan-fetterman/ ; https://www.yelp.com/biz/fetterman-law-north-palm-beach,PBC's original advertising PI firm — legacy brand awareness makes wraps an easy recognition play on US-1/I-95,draft_ready,2026-07-29
B,Freeman Injury Law (Dean H. Freeman),Palm Beach,Palm Beach,"Palm Beach: West Palm Beach, FL",,https://www.lawofficesofdeanhfreeman.com,Dean H. Freeman,Founder,,small 2-10,Organic page-1 for Lantana crash search,Google Search Lantana 2026-07-29,Founder-run WPB firm; owner decides,new,2026-07-29
B,Kanner & Pintaluga,Palm Beach,Palm Beach / Broward / Miami-Dade,"Palm Beach: 925 S Federal Hwy, 6th Floor, Boca Raton, FL 33432 | Broward: 5124 Hollywood Blvd, Hollywood, FL 33021 (by appointment) | Miami-Dade: 5201 Blue Lagoon Drive, Suite 800, Miami, FL 33126",954-637-4615,https://kpattorney.com,,,no marketing contact published,large 50+,Statewide TV/billboard advertiser (800-586-5555); Miami office on Blue Lagoon (Dolphin Expwy/836 corridor),https://kpattorney.com/offices/florida/miami/,Boca-HQ statewide TV buyer with local sports sponsorships — Boca→WPB I-95 commuter fleet as hyper-local add-on,new,2026-07-29
B,Kogan & DiSalvo Personal Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: 7900 Glades Rd, Ste 630, Boca Raton, FL 33434",561-477-9000,https://www.kogan-disalvo.com,,,no marketing contact published; https://www.kogan-disalvo.com/contact-us/,mid 10-50,"GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + TV ads featuring Darryl Kogan (Golden Gavels DMA report); also has WPB office; site targets I-95 crash victims",https://a-list.law/dma-reports/2023-2024-dma-report/ ; https://www.kogan-disalvo.com/west-palm-beach-injury/,"Boca + WPB offices, TV-active — Glades Rd/I-95 commuter wraps mirror their exact TV geography",draft_ready,2026-07-29
B,Morgan & Morgan (West Palm Beach office),Palm Beach,Palm Beach / Broward / Miami-Dade,"Palm Beach: 1700 Palm Beach Lakes Blvd, Ste 500, West Palm Beach, FL 33401 | Broward: 8151 Peters Rd Suite 4000, Plantation, FL 33324 | Miami-Dade: 703 Waterford Way, Suite 1000, Miami, FL 33126",561-227-5858,https://www.forthepeople.com,,,no local marketing contact published (marketing centralized in Orlando),large 50+,"GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Official personal injury law firm partner of the Miami Heat (2024-25 season); largest US PI TV/billboard advertiser; Miami office near MIA/Blue Lagoon",https://www.forthepeople.com/office-locations/florida/miami/,Ubiquitous OOH buyer — approach via national vendor/media buying channel; PBC wraps as pilot market,new,2026-07-29
B,Rosenthal Levy Simon & Sosa,Palm Beach,Palm Beach,"Palm Beach: West Palm Beach, FL",561-478-2500,https://www.rosenthallevy.com,,,,mid 10-50,Organic page-1 for Lantana crash search; established WPB firm (also Port St Lucie),Google Search Lantana 2026-07-29,Mid-size WPB firm w/ Treasure Coast reach — I-95 north corridor angle; Spanish fit (Sosa),new,2026-07-29
B,Rubenstein Law (West Palm Beach office),Palm Beach,Palm Beach / Broward / Miami-Dade,"Palm Beach | Broward: 261 N University Dr Suite 700, Plantation, FL 33324 (also 110 E Broward Blvd Suite 1700, Fort Lauderdale, FL 33301) | Miami-Dade: 9130 S Dadeland Blvd, Penthouse, Miami, FL 33156",800-FL-LEGAL,https://www.rubensteinlaw.com,,,no marketing contact published,large 50+,Tracked TV advertiser on iSpot.tv; YouTube playlist of 1-800-FL-LEGAL TV ads; won landmark FL Bar attorney-advertising case (Rubenstein v. Florida Bar),https://www.ispot.tv/brands/OX5/rubenstein-law,Known South FL billboard brand — PBC wraps extend their Miami-Dade/Broward OOH footprint north,new,2026-07-29
B,"Steinger, Greene & Feiner (SGF)",Palm Beach,Palm Beach / Broward / Miami-Dade,"Palm Beach: 1645 Palm Beach Lakes Blvd, 9th Floor, West Palm Beach, FL 33401 | Broward: 2727 NW 62nd St, Fort Lauderdale, FL 33309 | Miami-Dade: 150 SE 2nd Ave, Suite 338, Miami, FL 33131",561-616-5550,https://www.injurylawyers.com,,,no marketing contact published (site has 'On TV' page),large 50+,"GOOGLE SEARCH ADS-VERIFIED ('car crash attorney near me', Lantana, 7/29/26 — Sponsored search result + PAID map listing) + GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Firm's site cites 'top 100 most influential advertising law firms 2024-25' per Nielsen Media Research; well-known South Florida TV/billboard advertiser; opened downtown Miami office 2019",https://www.injurylawyers.com/miami/,WPB-headquartered TV/billboard buyer — mobile OOH on Palm Beach Lakes Blvd/I-95 is a direct line-item substitute,draft_ready,2026-07-29
B,The Law Offices of Anidjar & Levine,Palm Beach,Palm Beach / Broward / Miami-Dade,"Palm Beach: 500 S Australian Ave, Ste 541, West Palm Beach, FL 33401 | Broward: 300 SE 17th St, Fort Lauderdale, FL 33316 | Miami-Dade: 75 Valencia Ave, Suite 100, Coral Gables, FL 33134",561-721-0080,https://www.anidjarlevine.com,Marc Anidjar,Managing Partner,no marketing contact published,large 50+,Proud sponsor of the Miami Dolphins (2023 & 2024 seasons per firm blog); heavy South Florida TV/billboard advertiser (800-747-3733),https://www.anidjarlevine.com/blog/anidjar-levine-proud-sponsors-of-the-2024-miami-dolphins/,Ft Lauderdale HQ but two PBC offices and big TV spend — sell PBC as a measurable expansion market,new,2026-07-29
B,Warner & Fitzmartin Personal Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: Lake Worth Beach, FL (verify street address)",561-786-9851,,,,,small 2-10,"MAP-PACK LOCAL for Lantana crash searches (7/29/26); 3+ yrs, 212 reviews",Google Search Lantana 2026-07-29,Lake Worth Beach — closest firm to Lantana on the list; brand-new firm needing awareness; founder decides,new,2026-07-29
B,"Workman Injury Law, PLLC",Palm Beach,Palm Beach,"(verify address; LSA 'serves Atlantis', family owned)",,,,,,small 2-10,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 4+ yrs, 343 reviews, family-owned",Google LSA 33462 pull 2026-07-29,Young firm growing fast on paid leads — founder-level yes; first-mover exclusivity angle,new,2026-07-29
C,Boone & Davis,Broward,Broward,"Broward: 2311 N Andrews Ave, Fort Lauderdale, FL 33311",954-566-9919,https://www.booneanddavislaw.com,Michael Davis,Partner,no marketing contact published,small 2-10,Fort Lauderdale PI firm with local radio/consumer advertising (Yelp category lists Radio Stations); active Facebook,https://www.booneanddavislaw.com/,Radio advertiser — bundle wrapped-car creative that mirrors their radio call-to-action for I-95 drivers listening in-car,new,2026-07-29
C,Kelley | Uustal,Broward,Broward,"Broward: 500 N Federal Hwy Suite 200, Fort Lauderdale, FL 33301",954-522-6601,https://kelleyuustal.com,,,no marketing contact published,mid 10-50,Nationally ranked Fort Lauderdale trial firm; TV brand advertising for catastrophic injury/med-mal,https://kelleyuustal.com/,"Premium trial-firm brand — pitch limited high-end wraps (luxury sedans) as image advertising, not volume intake",new,2026-07-29
C,Krupnick Campbell Malone Buser Slama Hancock,Broward,Broward,"Broward: 350 E Las Olas Blvd Suite 800, Fort Lauderdale, FL 33301",954-763-8181,https://www.krupnicklaw.com,,,no marketing contact published,mid 10-50,Long-established Fort Lauderdale PI/product-liability firm; US News Best Law Firms listed,https://www.krupnicklaw.com/contact-us/,"Legacy brand with less mass-media presence — offer a measured, reportable OOH test to a firm that has never had per-mile data",new,2026-07-29
C,Law Offices of Jason Turchin,Broward,Broward,"Broward: Weston, FL",,https://www.jasonturchin.com,Jason Turchin,Founder,no marketing contact published,small 2-10,Broward County PI marketing (Weston/I-75 corridor),https://www.jasonturchin.com/practice-areas/personal-injury/broward-county-personal-injury-lawyers/,West Broward/I-75 & I-595 commuters — niche geography the big statewide advertisers under-serve,new,2026-07-29
C,Law Offices of Wolf & Pravato,Broward,Broward,"Broward: 2101 W Commercial Blvd Suite 1500, Fort Lauderdale, FL 33309",954-522-5800,https://wolfandpravato.com,Richard Pravato,Founding Partner,no marketing contact published,small 2-10,Since 1993; active Instagram/Facebook consumer marketing; Commercial Blvd/I-95 office,https://wolfandpravato.com/,Office sits at I-95/Commercial Blvd — wrapped cars pass their building daily; easy proof-of-concept,new,2026-07-29
C,Schlesinger Law Offices,Broward,Broward,"Broward: 1212 SE 3rd Ave, Fort Lauderdale, FL 33316",954-467-8800,https://schlesingerlawoffices.com,Scott Schlesinger,Managing Partner,no marketing contact published,small 2-10,Long-running Fort Lauderdale PI/med-mal brand with active Facebook/TV presence; big verdict publicity,https://schlesingerlawoffices.com/,Verdict-driven brand — offer wrap creative featuring headline verdicts (permitted post-Rubenstein ruling),new,2026-07-29
C,The Schiller Kessler Group,Broward,Broward,"Broward: 7501 W Oakland Park Blvd Suite 201, Fort Lauderdale, FL 33319",954-933-3000,https://www.injuredinflorida.com,,,no marketing contact published,small 2-10,Multi-office FL PI firm (injuredinflorida.com) with Fort Lauderdale HQ; consumer-facing brand,https://www.injuredinflorida.com/about/locations/,Oakland Park Blvd/Turnpike location — wraps on Turnpike/I-95 commuters at low CPM vs. billboards,new,2026-07-29
C,Zimmerman & Frachtman,Broward,Broward,"Broward: Coral Springs, FL (W Sample Rd)",,https://www.zimmermanfrachtman.com,,,no marketing contact published,small 2-10,Broward County PI marketing pages targeting Coral Springs/Sawgrass corridor,https://www.zimmermanfrachtman.com/areas-we-serve/broward-county/,NW Broward suburbs — Sawgrass Expwy commuter wraps reach Coral Springs/Parkland households,new,2026-07-29
C,Dolan Dobrinsky Rosenblum Bluestein,Miami-Dade,Miami-Dade,"Miami-Dade: 2665 S Bayshore Dr, Suite 603, Miami, FL 33133",305-371-2692,https://www.ddrlawyers.com,,,,small 2-10,Coconut Grove PI/med-mal trial firm; low mass-media presence,https://www.ddrlawyers.com/contact-us/,"Low-priority — high-value case firm, wraps only as niche brand awareness on US-1/Grove",new,2026-07-29
C,Freidin Brown P.A.,Miami-Dade,Miami-Dade,"Miami-Dade: 2 S Biscayne Blvd, Suite 3100, Miami, FL 33131",,https://www.yourfloridatrialteam.com,,,,small 2-10,Downtown Miami trial firm ('Your Florida Trial Team' brand); more referral/trial-focused than mass advertiser,https://www.yourfloridatrialteam.com/contact-us/,Brand-building rather than volume — position wraps as premium 'trial team' branding on Brickell/I-95,new,2026-07-29
C,Friedman Rodman Frank & Estrada,Miami-Dade,Miami-Dade,"Miami-Dade: 3636 W Flagler St, Miami, FL 33135 (also Miami Beach, Homestead)",305-448-8585,https://www.floridainjurylawyer.pro,,,,mid 10-50,Long-established Miami PI/workers-comp firm with 3 Miami-Dade offices incl. Homestead; bilingual marketing,https://www.floridainjurylawyer.pro/office-locations.html,Multi-office Dade footprint (Flagler/Miami Beach/Homestead) maps to US-1 & 836 commuter routes; Spanish creative fit,new,2026-07-29
C,Gallardo Law Firm,Miami-Dade,Miami-Dade,"Miami-Dade: 8492 SW 8th St, Miami, FL 33144 (also 7802 NW 103rd St, Hialeah)",305-261-7000,https://gallardolawyers.com,Carmen Gallardo,Founding Attorney,,small 2-10,Bilingual Miami/Hialeah firm marketing to Hispanic Miami-Dade (Calle Ocho + Hialeah offices; Spanish site gallardolawyers.com/es),https://gallardolawyers.com/locations,Spanish-language creative fit — Calle Ocho/Hialeah car wraps in the neighborhoods where their offices sit,new,2026-07-29
C,Jesus R. Gonzalez P.A. (Doral),Miami-Dade,Miami-Dade,"Miami-Dade: Doral, FL (address not confirmed)",,https://miatriallaw.com,Jesus R. Gonzalez,Attorney/Owner,,solo,Bilingual Doral PI attorney explicitly marketing to I-95/Palmetto crash victims,https://miatriallaw.com/,"Solo bilingual — Doral/Palmetto wraps; cheapest test sponsor, Spanish creative",new,2026-07-29
C,My 305 Attorneys (Doral),Miami-Dade,Miami-Dade,"Miami-Dade: Doral, FL (address not confirmed)",305-317-1917,https://www.my305attorneys.com,,,,small 2-10,'305' vanity brand aimed at Miami-Dade Hispanic market; Doral HQ,https://www.my305attorneys.com/,Brand IS the area code — wrap creative writes itself; Spanish fit; Doral/836 routes,new,2026-07-29
C,Panter Panter & Sampedro,Miami-Dade,Miami-Dade,"Miami-Dade: 6950 N Kendall Dr, Miami, FL 33156",,https://panterlaw.com,Brett Panter,Partner,,small 2-10,Established Kendall PI trial firm; local sponsorship/community advertising (Kendall corridor),https://panterlaw.com/contact/,Kendall/US-1 commuter wraps near their own office; partner-level pitch,new,2026-07-29
C,Wolfson & Leon,Miami-Dade,Miami-Dade,"Miami-Dade: 3399 SW 3rd Ave, Miami, FL 33145",,https://www.wolfsonlawfirm.com,Jonah Wolfson,Founding Partner,,small 2-10,"Heavy content/SEO marketer with dedicated pages on I-95, Palmetto, Hard Rock Stadium accidents; long-time Miami PI advertiser",https://www.wolfsonlawfirm.com/personal-injury/premises-liability/hard-rock-stadium-accidents/,Founder-run Miami firm already targeting I-95/Palmetto keywords — GPS-verified miles on those exact roads is a natural extension,new,2026-07-29
C,Berman Law Group,Palm Beach,Palm Beach,"Palm Beach: 5801 Congress Ave, Boca Raton, FL 33487 (also 3351 NW Boca Raton Blvd)",1-800-375-5555,https://www.bermanlawgroup.com,,,no marketing contact published; https://www.bermanlawgroup.com/contact-us/,large 50+,"Vanity 800 number, national multi-office PI firm HQ'd in Boca; billboard/TV buys not verified in this pass",https://www.bermanlawgroup.com/ ; https://www.yelp.com/biz/berman-law-group-boca-raton,Boca-HQ high-volume firm — pitch commuter wraps as local complement to national spend,new,2026-07-29
C,Blakeley Car Accident & Personal Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: West Palm Beach, FL",,,,,,small 2-10,"Yelp top-10 WPB accident attorneys surfaced page-1 (339 reviews, 4.1)",Google Search Lantana 2026-07-29,Review-driven WPB firm; rideshare/trucking niche — wraps on I-95 truck corridor,new,2026-07-29
C,Caminero Law,Palm Beach,Palm Beach,"(verify address; LSA 'serves Atlantis', local business)",,,,,,small 2-10,"GOOGLE LSA-VERIFIED (33462, 7/29/26); 5+ yrs, 76 reviews",Google LSA 33462 pull 2026-07-29,Small local firm — low-cost test sponsor; possible Spanish creative,new,2026-07-29
C,Farah & Farah (West Palm Beach office),Palm Beach,Palm Beach,"Palm Beach: 1555 Palm Beach Lakes Blvd, Ste 830, West Palm Beach, FL 33401",561-449-0211,https://farahandfarah.com,,,no marketing contact published; https://farahandfarah.com/contact/,large 50+,Jacksonville-based heavy TV/billboard advertiser expanding into WPB; site targets I-95 crashes,https://farahandfarah.com/west-palm-beach/,New-market entrant needs fast local awareness — wraps on I-95 WPB are a cheap beachhead,new,2026-07-29
C,Frankl Kominsky Injury Lawyers,Palm Beach,Palm Beach,"Palm Beach: 2240 Woolbright Rd, Ste 201, Boynton Beach, FL 33426",561-800-8000,https://www.fklegal.com,,,no marketing contact published,mid 10-50,"GOOGLE SEARCH ADS-VERIFIED ('car crash attorney near me', Lantana, 7/29/26 — Sponsored map slot) + GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Vanity number 561-800-8000; multiple South FL offices; OOH buys not verified in this pass",https://www.yelp.com/biz/frankl-kominsky-injury-lawyers-boynton-beach ; https://www.fklegal.com/palm-beach-personal-injury-lawyer.html,Boynton office on Woolbright/I-95 — wraps on Boynton/Delray commuters put 800-8000 in front of their exact market,new,2026-07-29
C,"Lesser, Landy, Smith & Siegel (fka Lesser Lesser Landy & Smith)",Palm Beach,Palm Beach,"Palm Beach: 420 Columbia Dr, Ste 110, West Palm Beach, FL 33409",561-655-2028,https://lesserlawfirm.com,Gary Lesser,Managing Partner,no marketing email published; https://lesserlawfirm.com/contact-us/,mid 10-50,Vanity toll-free 1-833-LAW-LLSS; offices WPB + Boca; ~100-yr local brand; heavy OOH not verified in this pass,https://lesserlawfirm.com/locations/ ; https://lesserlawfirm.com/our-lawyers/gary-lesser/,Legacy PBC brand with WPB+Boca offices — wraps reinforce hometown positioning vs. out-of-town billboard firms,new,2026-07-29
C,"Robes Law Group, PLLC",Palm Beach,Palm Beach,"Palm Beach: West Palm Beach / Boca, FL",561-760-9688,,Thomas Robes,Founder,,solo,Super Lawyers listing surfaced page-1 for Lantana crash search,Google Search Lantana 2026-07-29,Solo — cheap test sponsor; WPB/Boca I-95,new,2026-07-29
C,"Schuler, Weisser, Zoeller, Overbeck & Baxter",Palm Beach,Palm Beach,"Palm Beach: 1615 Forum Pl, Ste 4, West Palm Beach, FL 33401",561-689-8180,https://www.shw.law,,,no marketing contact published,mid 10-50,"GOOGLE LSA-VERIFIED (paying for 'auto accident lawyers' in 33462 Lantana, 7/29/26) + Long-standing WPB PI firm; TV/billboard buys not verified in this pass",https://www.yelp.com/biz/schuler-weisser-zoeller-overbeck-and-baxter-west-palm-beach,WPB office one block off I-95 at Forum Pl — local commuter wraps as low-cost brand lift,new,2026-07-29
